Genre,K-12 student,self-employed,scientist,executive/managerial,writer,homemaker,academic/educator,programmer,technician/engineer,"""""""other"""" or not specified""",clerical/admin,sales/marketing,college/grad student,lawyer,farmer,unemployed,artist,tradesman/craftsman,customer service,retired,doctor/health care
Animation,346.3955637708,372.9696218227,384.7804878049,369.8058533758,369.9773413897,379.797979798,369.3399136336,370.6360946746,373.4375,367.5085079706,382.2104466313,376.1056863871,365.562819784,372.8650137741,352.9850746269,339.5220588235,362.4133148405,374.8663101604,376.6940451745,354.5731707317,368.1150159744
Children's,322.0679012346,345.7458563536,359.2405063291,344.296912494,335.1439943807,366.7447306792,345.9285714286,343.237704918,348.1277323703,343.8570831592,360.9613656783,352.16938563,334.66796875,345.5748552523,322.9885057471,297.3434535104,337.7481481481,339.5287958115,351.3462742642,348.5849056604,348.5747303544
Comedy,349.7200211305,350.7569519225,368.7170248359,351.7354124748,342.3003802281,357.9861796644,351.9583291596,359.8923693964,358.129021748,349.2602150538,360.151642797,355.3581405744,348.6563116371,354.9694392772,348.136315229,340.1391686504,350.4448893338,344.5349952061,347.4962063733,366.3824884793,358.5792515972
Adventure,342.56575416,351.3258203513,356.7661547378,350.9195077097,334.6109675567,368.8991531948,342.4278022516,356.4958020327,356.0599715219,342.5616171169,355.6486486486,352.0495564393,341.9877163596,347.2493172064,339.7727272727,328.7974683544,344.3534914801,343.0316490838,347.8934324659,365.0803461063,355.3981106613
Fantasy,329.8039215686,349.4277539342,354.5361875637,347.1069868996,333.8421052632,360.6356968215,345.6387984075,349.7192224622,352.8097272429,342.6314650509,347.2674976031,360,336.3636363636,351.4754098361,340.7894736842,323.0899830221,342.4431818182,342.0833333333,343.147751606,367.8018575851,348.6842105263
Romance,362.4414715719,361.2210971739,368.9910521444,361.515563321,346.9661414683,376.0164117866,360.5972424305,368.1657848325,366.2824207493,357.3986504437,370.4606525912,360.2292188118,355.845185851,359.9531615925,357.3726541555,345.1580531862,358.8445807771,351.6853932584,356.3608909022,382.4095281722,371.1271143862
Drama,378.2166666667,379.198253381,383.6069502696,376.6663238017,365.3347685684,379.1184971098,375.4292616986,384.0206740605,380.0157563025,374.3350155365,379.0600884419,378.8017904281,374.8794378359,376.353421859,362.754491018,361.9307832423,373.2216053546,373.8553237605,373.9990579369,394.9046679816,387.1755512141
Action,349.7115543102,351.0326224395,355.9685379395,356.8686553719,333.9971209213,360.1525262154,339.2063407058,357.5455182073,356.7827130852,341.7847498255,354.9025148347,352.8136293237,345.3686845699,351.6795326518,344.930875576,331.0577441986,345.7568502261,347.52195734,349.499460958,367.9047962496,356.400418556
Crime,368.7084870849,373.7569060773,380.1011804384,373.6324101625,365.1598452454,364.234620887,365.9342396459,376.8506056528,371.3289093075,365.2772466539,374.2810854597,373.4596074852,372.3449684367,373.0362116992,357.5757575758,363.4085213033,367.8038918373,363.556851312,369.6655132641,383.2487309645,380.2857142857
Thriller,355.4131054131,357.182783678,366.3175046555,362.5447855137,346.1545884396,365.7894736842,352.618352238,366.8993699983,362.4164991245,349.4616284228,364.5558932793,361.6088110925,351.4386214529,362.3898678414,345.4728370221,340.3037795832,356.4666589888,356.8896051571,354.2000943841,380.2019315189,365.0788969179
Horror,323.7795275591,326.6435986159,333.6032388664,322.3291883942,320.1471941122,326.7527675277,310.4548139398,334.7877358491,320.8789358478,313.1202330962,330.4524886878,331.5217391304,316.6907444862,324.0192153723,301.0989010989,313.612565445,324.3743199129,334.1661824521,327.6987447699,332.8233657858,325.698757764
Sci-Fi,344.3794506612,349.3593394077,352.9564193168,350.1961265016,339.0184348675,349.2957746479,339.6863077575,356.1527811711,352.9857512953,339.9846860643,355.5942317255,349.2469678795,341.9123427673,347.7305475504,340.5454545455,333.0855018587,350.0281293952,347.3520249221,345.4209553972,354.4456641054,347.1822774971
Documentary,358.1632653061,393.3491686461,398.75,391.513437058,396.7914438503,380,398.4886649874,384.4221105528,402.4128686327,385.4545454545,385.2631578947,391.7763157895,396.2886597938,414.1361256545,390,372.7272727273,402.8933092224,364,388.6597938144,397.0588235294,401.3245033113
War,388.0727272727,392.7215189873,393.4029686641,391.265060241,379.9376299376,387.9518072289,388.4,394.4945420028,394.1601779755,385.2909156889,392.9562982005,390.7077100115,386.6346981434,394.8798988622,378.527607362,369.3995381062,386.3680941484,387.4064837905,376.1015683346,408.5756897837,401.0916179337
Musical,355.6737588652,367.8005865103,380.5986696231,366.555011595,366.9849430775,384.5821325648,370.1585651157,359.8214285714,365.9683939728,365.7419474958,385.7048748353,373.3026467204,364.2227122381,371.0526315789,356,336.0770577933,361.3322161709,347.5949367089,364.1891891892,373.6486486486,365.0060753341
Mystery,363.6612021858,370.2541914548,375.6607929515,367.8220140515,360.5100463679,366.2404092072,368.5254691689,375.0225022502,366.8351870576,359.378552482,375,368.6170212766,357.5105485232,374.1304347826,348.7804878049,357.9734219269,371.9644619941,363.125,361.6991643454,394.6291560102,378.4887678693
Film-Noir,421.2765957447,410.5582524272,419.0476190476,403.0026809651,410.460251046,368.4615384615,408.2613390929,413.0357142857,405.0860719875,405.8154787932,407.5332348597,412.6050420168,403.9548022599,414.5251396648,387.8048780488,404.4444444444,411.4,388.2653061224,402.73556231,416.1057692308,401.1347517731
Western,351.3333333333,360.6457242583,381.5028901734,363.599257885,361.8466898955,350.2617801047,362.9737609329,377.34082397,366.2613981763,362.0440729483,362.6707132018,369.53125,351.9846963176,366.5420560748,370.5882352941,350.1779359431,361.0483042138,375.3205128205,361.3553113553,376.7816091954,373.5006973501
